备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
蒙备2024016494,复方妥英麻黄茶碱片,国药准字H15021081,颈复康药业集团赤峰丹龙药业有限公司,内蒙古自治区赤峰市红山区红山经济开发区丹龙街1号,颈复康药业集团赤峰丹龙药业有限公司,内蒙古自治区赤峰市红山区红山经济开发区丹龙街1号,申请复方妥英麻黄茶碱片“口服固体药用高密度聚乙烯瓶，100片/瓶”包装规格的说明书、包装标签重新备案。具体变更内容为：1.依据国家药监局2024年3月22日发布的关于修订复方妥英麻黄茶碱片说明书的公告（2024年第25号）要求，补充完善说明书、包装标签中【不良反应】、【注意事项】的安全性内容；2.规范说明书、包装标签中【包装】项下的内容；3.说明书、包装标签中增加【上市许可持有人】内容；4.规范说明书中【警示语】的内容。申请人对申报资料的真实性、准确性、完整性、规范性负责。,内蒙古自治区药品监督管理局,2024-05-09,已备案,详情
浙备2024014855,羟苯磺酸钙片,国药准字H20243543,浙江视方极医药科技有限公司,浙江省杭州市钱塘区下沙街道福城路400号2幢1002室,宁夏康亚药业股份有限公司,银川市金凤区宁安大街富安西巷57号,"1.产品包装盒及说明书申请使用“一致性评价标识”。
2.根据《国家药监局关于修订羟苯磺酸钙口服制剂说明书的公告（2024年第37号）》修订说明书【不良反应】和【注意事项】",浙江省药品监督管理局,2024-05-09,已备案,详情
鲁备2024015945,氯化钠注射液等3个品种8个规格,国药准字H37020766 国药准字H37020765 国药准字H37020776 国药准字H37020775 国药准字H37020773 国药准字H37020774 国药准字H37020769 国药准字H37020768,山东齐都药业有限公司,山东省淄博市临淄区宏达路17号,山东齐都药业有限公司,山东省淄博市临淄区宏达路17号,氯化钠注射液（250ml：2.25g；100ml：0.9g）、葡萄糖注射液（100ml：5g；100ml：10g；250ml：12.5g；250ml：25g）、葡萄糖氯化钠注射液（100ml:葡萄糖5g与氯化钠0.9g；250ml:葡萄糖12.5g与氯化钠2.25g）等3个品种8个规格（三层共挤输液用袋，单阀拉环式）生产场地增加“山东省淄博市临淄区宏达路17号311车间14C生产线”，同时调整部分工艺参数、变更部分生产设备、包装材料三层共挤输液用袋登记号由“B20190007931”变更为“B20200001086”（311车间14C生产线）。除氯化钠注射液（250ml：2.25g）外其他品种在变更生产场地过程中若发生其他中等及以上变更的，将按照规定进行备案申请或补充申请。,山东省药品监督管理局,2024-05-09,已备案,详情
冀备2024016531,环磷腺苷注射液,国药准字H20051363,石家庄四药有限公司,石家庄高新技术产业开发区槐安东路518号,石家庄四药有限公司,石家庄高新技术产业开发区槐安东路518号,申请备案本品原料药环磷腺苷供应商增加“新乡制药股份有限公司”。我公司对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品的安全性、有效性和质量可控性，必要时提出补充申请。,河北省药品监督管理局,2024-05-09,已备案,详情
赣备2024016360,参茸卫生丸,国药准字Z36021838,江西药都樟树制药有限公司,江西省樟树市福城工业园区,江西药都樟树制药有限公司,生产地址一：江西省樟树市福城工业园区；生产地址二：江西省樟树市仁和路36号,生产场地变更。具体变更：在生产地址“江西省樟树市福城工业园区”基础上增加“江西省樟树市仁和路36号”的生产地址，药品说明书、标签相应内容同步进行备案。由于本品长期未生产及变更生产场地，暂不得生产上市。按相关技术指导原则要求进行研究、评估和必要的验证，依法经批准或备案后方可上市销售。,江西省药品监督管理局,2024-05-09,已备案,详情
豫备2024015570,注射用甲氨蝶呤,国药准字H20074231,仁合熙德隆药业有限公司,河南省郑州市中牟县官渡生物医药产业园区结义路20号,仁合熙德隆药业有限公司,河南省郑州市中牟县官渡生物医药产业园区结义路20号,根据原国家食品药品监督管理总局《关于仿制药质量和疗效一致性评价工作有关事项的公告》(2017年第100号)的相关要求，对我司注射用甲氨蝶呤(药品批准文号:国药准字H20074231)药品纸盒、说明书加入“通过一致性评价”标识。,河南省药品监督管理局,2024-05-09,已备案,详情
Y浙备2024015170,雷米普利,Y20190007368,无,无,浙江华海药业股份有限公司,浙江省临海市汛桥,根据国家药品监督管理总局公告（2020年第80号），关于实施2020年版《中华人民共和国药典》有关事宜，修订雷米普利执行标准。执行标准由原备案标准“《中国药典》2015年版二部及YBH02312009（鉴别和残留溶剂项）”修改为《中国药典》2020年版和YBH02312009，其中，硫氰酸铬铵试剂鉴别、残留溶剂及贮藏执行YBH02312009，其他项执行《中国药典》2020年版。,浙江省药品监督管理局,2024-05-09,已备案,详情
鄂备2024016774,盐酸萘甲唑啉滴眼液,国药准字H20083651,湖北康正药业有限公司,湖北省安陆市东城经济开发区发展二路88号,湖北康正药业有限公司,湖北省安陆市东城经济开发区发展二路88号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由湖北省孝感安陆市河西金泉路88号变更为湖北省安陆市东城经济开发区发展二路88号,湖北省药品监督管理局,2024-05-09,已备案。该药品同时发生（药品生产工艺、处方、质量标准等）变更，获得批准或备案完成后方可生产上市。,详情
赣备2024016368,桂附地黄丸,国药准字Z36021787,江西药都樟树制药有限公司,江西省樟树市福城工业园区,江西药都樟树制药有限公司,生产地址一：江西省樟树市福城工业园区；生产地址二：江西省樟树市仁和路36号,生产场地变更。具体变更：在生产地址“江西省樟树市福城工业园区”基础上增加“江西省樟树市仁和路36号”的生产地址，药品说明书、标签相应内容同步进行变更。由于本品长期未生产及变更生产场地，暂不得生产上市。按相关技术指导原则要求进行研究、评估和必要的验证，依法经批准或备案后方可上市销售。,江西省药品监督管理局,2024-05-09,已备案,详情
晋备2024015896,枸橼酸莫沙必利片,国药准字H20090158,亚宝药业集团股份有限公司,山西省运城市芮城县富民路43号,亚宝药业集团股份有限公司,山西省风陵渡经济开发区工业大道1号,药品说明书、标签备案：我公司枸橼酸莫沙必利片于2024年04月24日获得国家药品监督管理局《药品补充申请批准通知书》（通知书编号：2024B01845），本品为通过仿制药一致性评价的产品，现我公司按照国家药品监督管理局《药品补充申请批准通知书》批准内容修改了本品的药品说明书和标签样稿，同时在药品说明书和标签样稿上增加了“仿制药一致性评价”标识。,山西省药品监督管理局,2024-05-09,已备案,详情
