备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
Y滇备2024016120,紫杉醇,Y20190009469,无,无,云南汉德生物技术有限公司,昆明市安宁市太平乡妥睦村滇中军民结合产业基地暨太平2.5创智产业园A区生物医药园区内28栋、29栋,天然紫杉醇原料药有效期变更：紫杉醇原料药的有效期由36个月变更为48个月（棕色玻璃瓶包装；双层聚酯/铝/聚乙烯药用复合袋包装；低密度聚乙烯袋+铝塑复合袋包装）,云南省药品监督管理局,2024-05-07,已备案,详情
鲁备2024015696,清肝颗粒,国药准字Z20026162,鲁南厚普制药有限公司,临沂市红旗路209号,鲁南厚普制药有限公司,山东省临沂市银雀山路239号,将本品有效期由18个月延长至24个月。说明书和包装标签作相应修订。,山东省药品监督管理局,2024-05-07,已备案,详情
粤备2024015708,妥布霉素吸入溶液,国药准字H20220025,健康元药业集团股份有限公司,深圳市南山区高新区北区朗山路17号健康元药业集团大厦,健康元海滨药业有限公司,深圳市坪山区坑梓街道金辉路11号,本品委托健康元海滨药业有限公司生产，生产场地在原有厂房二3楼B301车间吸入溶液生产线基础上，增加厂房二1楼B101车间吸入溶液生产线，同时关联生产设备变更，新增丽珠集团福州福兴医药有限公司为原料药供应商，修订了原料药内控标准。,广东省药品监督管理局,2024-05-07,已备案,详情
滇备2024015632,半夏露颗粒,国药准字Z53020094,云南裕丰药业有限公司,云南省楚雄开发区庄甸医药片区,云南裕丰药业有限公司,云南省楚雄开发区庄甸医药片区,半夏露颗粒（7克×15袋/盒×60盒/箱）的说明书及包装标签备案：1、半夏露颗粒的说明书及包装标签新增包装规格“15袋/盒”。2、其他变更事项：新商标为“善举”。,云南省药品监督管理局,2024-05-07,已备案,详情
琼备2024015960,注射用奥沙利铂,国药准字H20093167 国药准字20093168,齐鲁制药（海南）有限公司,海口市国家高新区南海大道273号-A,齐鲁制药（海南）有限公司,海口市国家高新区南海大道273号-A,"（1）600车间注射用奥沙利铂（50mg规格的生产批量为21000支/批，0.1g规格的生产批量为11400支/批）变更制剂生产工艺：a.取消铝塑盖清洗机的使用；b.变更配料工序的注射用水首次加入量，超滤过程取消辅料投料量的处理；c.变更过滤管道材质；d.变更过滤器过滤面积、使用次数以及完整性测试标准；e.新增内包材处理参数，同时取消铝塑盖清洗灭菌工序；f.新增配料工序的搅拌速度；g.新增灌装工序的灌装速度；h.新增轧盖工序的理盖频率、主机速度和瓶外壁清洗参数；I.新增生产时限。
（2）中硼硅玻璃模制注射剂瓶在原供应商基础上新增山东省药用玻璃股份有限公司。",海南省药品监督管理局,2024-05-07,已备案,详情
京备2024014950,呋塞米注射液,国药准字H12020527,北京京丰制药集团有限公司,北京市大兴区中关村科技园区大兴生物医药产业基地祥瑞大街21号1号楼、9-10号楼、12-13号楼,津药和平（天津）制药有限公司,天津开发区黄海路221号,呋塞米注射液（国药准字H12020527）的变更内容如下: 生产企业名称由“天津金耀药业有限公司”变更为“津药和平（天津）制药有限公司”，并对药品说明书、标签进行相应修改。,北京市药品监督管理局,2024-05-07,已备案,详情
沪备2024015248,兰索拉唑肠溶片,国药准字H20163153,上海桓华制药有限公司,上海市金山工业区揽工路1118号,上海桓华制药有限公司,上海市金山工业区揽工路1118号,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号），新增本品电子药品说明书（完整版）。,上海市药品监督管理局,2024-05-07,已备案,详情
赣备2024014932,富马酸丙酚替诺福韦片,国药准字H20203566,江西青峰药业有限公司,江西省赣州市章贡区沙河工业园,江西青峰药业有限公司,江西省赣州市沙河工业园,"根据国家药监局《药品说明书适老化及无障碍改革试点工作方案》（2023年第142号）,对富马酸丙酚替诺福韦片纸质药品说明书（简化版）及电子药品说明书（完整版）进行备案。",江西省药品监督管理局,2024-05-07,已备案,详情
Y粤备2024003728,谷氨酰胺,Y20190003057,无,无,广东岭南制药有限公司,韶关市武江区西联镇甘棠大道28号,本品生产地址由“广州市天河区沙河龙眼洞”变更为“韶关市武江区西联镇甘棠大道28号”。关联变更生产设备和生产批量。,广东省药品监督管理局,2024-05-06,已备案,详情
辽备2024016080,盐酸乙胺丁醇片,国药准字H21020991,远大生命科学（鞍山）有限公司,辽宁省鞍山市海城市腾鳌经济开发区西一马路1号,远大生命科学（鞍山）有限公司,鞍山市高新区千山路290号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由辽宁味邦生物制药有限公司变更为远大生命科学（鞍山）有限公司,辽宁省药品监督管理局,2024-05-06,已备案,详情
