备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
琼备2024008339,布洛芬颗粒,国药准字H20133069,海南葫芦娃药业集团股份有限公司,海南省海口市海口国家高新区药谷工业园二期药谷四路8号,海南葫芦娃药业集团股份有限公司,海南省海口市海口国家高新区药谷工业园二期药谷四路8号,根据国家局关于仿制药质量和疗效一致性评价工作有关事项的公告》（2017年第100号）的相关要求，我司本品布洛芬颗粒（规格：0.1g）药品说明书和标签中增加通过一致性评价的标识。,海南省药品监督管理局,2024-03-13,已备案,详情
京备2024005995,金刚藤软胶囊,国药准字Z20050786,北京长城制药有限公司,北京市丰台区西四环南路63号,北京长城制药有限公司,北京市丰台区西四环南路63号：颗粒剂、片剂、硬胶囊剂、合剂，软胶囊剂(含抗肿瘤药)，洗剂(外用)***北京市丰台区小屯西路121号：中药提取***河北省保定市安国市义丰大路1号（安国亚东生物制药有限公司）：合剂***,此次备案申请是按照国家药监局关于修订祖卡木制剂、金刚藤制剂、和斑秃丸说明书的公告（2024年第11号）要求，提出修订金刚藤软胶囊说明书备案申请。根据要求对说明书中【不良反应】、【禁忌】、【注意事项】项下内容作相应修改，其他内容不变。,北京市药品监督管理局,2024-03-13,已备案,详情
豫备2024008419,葡萄糖酸钙注射液,国药准字H41022648,上海浦津林州制药有限公司,林州市兴林路西段,上海浦津林州制药有限公司,林州市兴林路西段,根据国家药品监督管理局发布的《总局关于仿制药质量和疗效一致性评价工作有关事项的公告》（2017年第100号）和《国家药品监督管理局关于阿托伐他汀钙片等12个品种规格通过仿制药质量和疗效一致性评价的公告（第四批）》（2018第24号）要求，说明书、标签使用“通过一致性评价”标识进行备案。,河南省药品监督管理局,2024-03-13,已备案,详情
冀备2024008869,强力枇杷露,国药准字Z13021742,河北金牛药业科技有限公司,定州经济开发区金牛路1号,河北金牛药业科技有限公司,定州经济开发区金牛路1号,申请备案本品药品上市许可持有人名称及生产企业名称变更(变为”河北金牛药业科技有限公司“)。此变更不涉及持有人主体变更和药品生产场地变更，申请人对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品的安全性、有效性和质量可控性，必要时提出补充申请。,河北省药品监督管理局,2024-03-13,已备案,详情
鲁备2024007929,盐酸二甲双胍缓释片(Ⅲ),国药准字H20193408 国药准字H20193409,青岛百洋制药有限公司,山东省青岛市即墨区太吉路88号,青岛百洋制药有限公司,山东省青岛市即墨区太吉路88号,增加山东科源制药股份有限公司作为本品所用原料药的新供应商，原料药登记号为Y20190009395。,山东省药品监督管理局,2024-03-13,已备案,详情
桂备2024008041,小儿咳喘灵口服液,国药准字Z45022240,广西荣仁药业有限公司,广西大新县桃城镇伦那街129号,荣康集团广西康世缘制药有限公司,广西-东盟经济技术开发区宁武路21号,"1.药品说明书修订内容如下：
（1）【包装】“聚酯/铝/聚乙烯药用复合膜；每盒装10袋”变更为：“聚酯/铝/聚乙烯药用复合膜；每盒装10支”
 2.标签修订内容如下：
（1）增加【药品上市许可持有人】【生产企业】【批准文号】项
（2）【规格】由每支装10毫升变更为每支装10 ml。
（3）删去多余的【功能主治】项。
3、药品纸盒修订内容如下：
（1）纸盒正面：增加【批准文号】；“10ml×10袋”变更为“10ml×10支”；
（2）纸盒侧面：【规格】由“每支装10毫升”变更为“每支装10 ml”；
增加【不良反应】、【禁忌】、【注意事项】、【贮藏】。",广西壮族自治区药品监督管理局,2024-03-13,已备案,详情
豫备2024007810,胰激肽原酶肠溶片,国药准字H37022253,武陟维尔康生化制药有限公司,武陟县产业集聚区兴业路331号,武陟维尔康生化制药有限公司,武陟县产业集聚区兴业路331号,药品生产许可证变更生产地址或者生产范围（已取得《药品生产许可证》的药品上市许可持有人委托生产制剂的或者持有人自行生产变更为委托生产）。申请将生产地址：武陟县产业集聚区兴业路331号，变更为：武陟县产业集聚区兴业路331号，长沙市浏阳生物医药工业园北园（湖南尔康制药股份有限公司）。,河南省药品监督管理局,2024-03-13,已备案,详情
浙备2024008084,头孢克肟分散片,国药准字H20060655,浙江莎普爱思药业股份有限公司,浙江省平湖市经济开发区新明路1588号,浙江莎普爱思药业股份有限公司,浙江省平湖市经济开发区新明路1588号,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号），新增本品药品说明书（简化版）及电子药品说明书（完整版）。,浙江省药品监督管理局,2024-03-13,已备案,详情
京备2024007777,缬沙坦胶囊,国药准字H20040216,北京诺华制药有限公司,北京市昌平区永安路31号,北京诺华制药有限公司,北京市昌平区永安路31号,"依据《国家药监局 国家卫生健康委关于发布实施《中华人民共和国药典》（2020年版）第一增补本的公告》（2023年第126号）要求，实施《中华人民共和国药典》（2020年版）第一增补本：
1. 将缬沙坦胶囊的药品注册标准由“《中国药典》2020年版二部”更新为“《中国药典》2020年版第一增补本二部”。
2. 将缬沙坦胶囊的说明书【执行标准】项由“《中国药典》2020 年版二部”更新为“《中国药典》2020年版第一增补本二部”。",北京市药品监督管理局,2024-03-13,2024年05月17日，撤销备案,详情
桂备2024008153,灵芝二维甲硫氨酸胶囊,国药准字H45021393,广西两面针亿康药业股份有限公司,柳州市东环路282号,广西两面针亿康药业股份有限公司,1、柳州市东环路282号：片剂，硬胶囊剂(含头孢菌素类)，颗粒剂(含头孢菌素类)，糖浆剂，口服溶液剂，软膏剂，乳膏剂(含激素类)***2、柳州市柳石路340号：原料药，中药前处理和提取***,最小销售单元为12粒/板/袋/小盒的包装规格，注册商标由“七活”、“龙脉”变更为“七活双宝”。,广西壮族自治区药品监督管理局,2024-03-13,已备案,详情
