备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
鄂备2024001243,醋酸钠林格注射液,国药准字H20163331,湖北多瑞药业有限公司,湖北省荆州市公安县斗湖堤镇孱陵大道,湖北多瑞药业有限公司,湖北省荆州市公安县斗湖堤镇孱陵大道,"1、 根据已批准的药品说明书修改包装标签；
2、 说明书以及外箱上增加“仿制药一致性评价”标识。",湖北省药品监督管理局,2024-01-15,已备案,详情
桂备2024001679,川贝枇杷糖浆,国药准字Z45022409,广西大力神制药股份有限公司,灵山县灵城镇海岩路99号,广西大力神制药股份有限公司,灵山县灵城镇海岩路99号,修订包装标签式样，标签由横版改成坚版。,广西壮族自治区药品监督管理局,2024-01-15,已备案,详情
甘备2024000647,保和颗粒,国药准字Z62020022,兰州和盛堂制药股份有限公司,甘肃省兰州市兰州新区昆仑山大道中段2299号,兰州和盛堂制药股份有限公司,甘肃省兰州市兰州新区昆仑山大道中段2299号,因现有颗粒车间产能不足，拟新增颗粒车间（二），用于颗粒剂的生产。保和颗粒变更制剂生产场地，仅为生产车间的变更，即在同一个生产地址内保和颗粒的生产由颗粒车间（一）新增了颗粒车间（二）。,甘肃省药品监督管理局,2024-01-15,2024年03月04日，撤销备案,详情
吉备2024001864,甲砜霉素肠溶片,国药准字H22022904,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001855,维尔康胶囊,国药准字Z22024763,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001861,甲硝唑氯化钠注射液,国药准字H22025949,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001882,溃平宁颗粒,国药准字Z22024438,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001886,解郁安神颗粒,国药准字Z22024759,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001885,护肝片,国药准字Z22024758,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001887,抗痨颗粒,国药准字Z22024760,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001859,盐酸倍他司汀氯化钠注射液,国药准字H22025342,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001862,妇科止带片,国药准字Z20054700,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
吉备2024001878,脑栓康复胶囊,国药准字Z20025020,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,吉林省长源药业有限公司,长春市高新技术开发区锦湖大路1199号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由长春高新技术开发区锦湖大路1199号变更为长春市高新技术开发区锦湖大路1199号,吉林省药品监督管理局,2024-01-15,已备案,详情
苏备2024001976,金振口服液,国药准字Z10970018,江苏康缘药业股份有限公司,连云港经济技术开发区江宁工业城,江苏康缘药业股份有限公司,"连云港市经济技术开发区泰山北路58号（中药前处理及提取车间中药前处理及提取生产线进行前处理、提取、浓缩）,连云港经济技术开发区江宁工业城（液体制剂车间合剂生产线、合剂（液体制剂车间Ⅱ）生产线进行配液、洗瓶、灌封、灭菌、灯检、包装,液体制剂Ⅱ车间合剂生产线进行钠钙玻璃管制口服液体瓶包装的配液、洗瓶、灌封、灭菌、灯检、包装）","因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由制剂生产地址：江苏省连云港经济技术开发区江宁工业城；提取生产地址：江苏省连云港市经济技术开发区泰山北路58号变更为连云港市经济技术开发区泰山北路58号（中药前处理及提取车间中药前处理及提取生产线进行前处理、提取、浓缩）,连云港经济技术开发区江宁工业城（液体制剂车间合剂生产线、合剂（液体制剂车间Ⅱ）生产线进行配液、洗瓶、灌封、灭菌、灯检、包装,液体制剂Ⅱ车间合剂生产线进行钠钙玻璃管制口服液体瓶包装的配液、洗瓶、灌封、灭菌、灯检、包装）",江苏省药品监督管理局,2024-01-15,已备案,详情
琼备2024001227,注射用哌拉西林钠他唑巴坦钠,国药准字H19990187 国药准字H19990188 国药准字H20090195 国药准字H20073584 国药准字H20073583,海南通用三洋药业有限公司,海口市秀英区海力路8号,海南通用三洋药业有限公司,海南省海口市秀英区海力路8号,（1）注射用哌拉西林钠他唑巴坦钠（规格：0.5625g、1.125g、2.25g、3.375g、4.5g）新增珠海联邦制药股份有限公司为哌拉西林原料药生产供应商。（2）注射用哌拉西林钠他唑巴坦钠（规格：0.5625g、1.125g、2.25g、3.375g、4.5g）在新增珠海联邦制药股份有限公司为哌拉西林原料药生产供应商的基础上，同期原料药内控质量标准新增适用于珠海联邦制药股份有限公司原料药生产供应商的内控标准。（3）注射用哌拉西林钠他唑巴坦钠（规格：4.5g）中硼硅玻璃管制注射剂瓶新增重庆正川永成医药材料有限公司生产供应商；注射用冷冻干燥用溴化丁基橡胶塞新增盛州医药包装材料科技（中国）有限公司生产供应商。（4）注射用哌拉西林钠他唑巴坦钠（规格：4.5g）在“配液总量约为680kg，1批冻干批4.75万瓶”的基础上增加 “配液总量约为1360kg，使用两台相同原理的冻干设备同期冻干生产，每台冻干设备冻干量约4.75万瓶/箱”，其生产工艺参数相应变更为：灌装、进箱总时间由“约为3～8h”变更为“约为6～12h ”，出料、轧盖总时间“约为3～8h”变更为“约为6～12h ”，生产时间增加，但未超过无菌灌装验证的时间（≤12小时），未涉及关键生产工艺参数的变化。,海南省药品监督管理局,2024-01-15,已备案,详情
川备2024001896,吸入用乙酰半胱氨酸溶液,国药准字H20234715,四川普锐特药业有限公司,四川省成都高新区安泰五路566号,成都倍特药业股份有限公司,成都市双流西南航空港经济开发区空港四路1166号,申请在药品说明书、标签和小盒上增加“仿制药一致性评价”标识。,四川省药品监督管理局,2024-01-15,已备案,详情
鲁备2024001017,狂犬病人免疫球蛋白,国药准字S20053085国药准字S20053086国药准字S20053087,山东泰邦生物制品有限公司,山东省泰安市高新区龙泉路5666号,山东泰邦生物制品有限公司,山东省泰安市高新区龙泉路5666号,根据国家药品监督管理局2023年第133号公告要求修订狂犬病人免疫球蛋白说明书中“【不良反应】和【注意事项】”项。,山东省药品监督管理局,2024-01-15,已备案,详情
粤备2024001456,帕拉米韦注射液,国药准字H20234693,广州绿十字制药股份有限公司,广州经济技术开发区蕉园路2号,广州绿十字制药股份有限公司,广东省广州经济技术开发区蕉园路2号,本品有效期由“18个月”变更为“24个月”。,广东省药品监督管理局,2024-01-15,已备案,详情
冀备2024001843,注射用青霉素钠,国药准字H13021279,石药集团中诺药业（石家庄）有限公司,河北省石家庄经济技术开发区扬子路88号,石药集团中诺药业（石家庄）有限公司,石家庄经济技术开发区扬子路88号,"申请备案本品上市销售，西林瓶供应商变更为“包头市康瑞药用玻璃包装制品有限公司”，西林瓶的尺寸变更为“7mL”，胶塞供应商变更为“宁波兴亚橡塑有限公司”，原料药传递灭菌方式变更为VHP灭菌。 我公司对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品安全性、有效性和质量可控性,必要时提出补充申请。",河北省药品监督管理局,2024-01-15,已备案,详情
