备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2024000714,中文：德拉马尼片;英文/拉丁文：Delamanid Tablets,国药准字HJ20180004,"中文名称：无;英文名称：Otsuka Pharmaceutical Co.,Ltd.","2-9,Kanda-Tsukasamachi,Chiyoda-ku,Tokyo,Japan","中文名称：无;英文名称：Otsuka Pharmaceutical Co.,Ltd.Tokushima Itano Factory","13 Minami,Shishitoki,Matsutani,Itano-cho,Itano-gun,Tokushima,779-0195,Japan",浙江大冢制药有限公司,浙江省杭州市临安区锦南街道上卦畈1号,根据批准的进口药品说明书，申请在本品进口药品包装标签【不良反应】项补充完善安全性内容。,2024-04-10,国家药品监督管理局药品审评中心,已备案
国备2024000641,中文：戊酸雌二醇片;英文/拉丁文：Estradiol Valerate Tablets,国药准字J20171038,中文名称：-;英文名称：Jenapharm GmbH & Co. KG,"Otto-Schott-Strasse 15 07745 Jena, Germany",中文名称：-;英文名称：DELPHARM Lille S.A.S.,"Parc d'Activités Roubaix-Est 22 rue de Toufflers CS 50070 59452 Lys-Lez- Lannoy Cedex, France",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,将药品注册代理机构由拜耳医药保健有限公司变更为简柏特（佛山）信息技术服务有限公司。,2024-03-28,国家药品监督管理局药品审评中心,已备案
国备2024000335,中文：富马酸二甲酯肠溶胶囊;英文/拉丁文：Dimethyl Fumarate Enteric Capsules,国药准字HJ20210025,中文名称：无;英文名称：Biogen Netherlands B.V.,"Prins Mauritslaan 13, 1171 LP Badhoevedorp",中文名称：无;英文名称：Janssen Cilag SpA,"Via C, Janssen, 04100 Borgo San Michele, Latina",渤健生物科技（上海）有限公司,上海市徐汇区陕西南路288号21层2106-11室,1. 更正药品说明书中的左上角修订日期，修订日期由2022年9月17日更正为2022年9月19日。,2024-02-22,国家药品监督管理局药品审评中心,已备案
Y国备2024000346,中文：恩替卡韦;英文/拉丁文：Entecavir,Y20190009162,中文名称：无;英文名称：SK Biotek Ireland Limited,"Watery Lane, Swords, Co. Dublin, K67 AY91, Ireland",中文名称：无;英文名称：SK Biotek Ireland Limited,"Watery Lane, Swords, Co. Dublin, K67 AY91, Ireland",中美上海施贵宝制药有限公司,上海市闵行剑川路1315号,恩替卡韦原料药的有效期从33个月延长至36个月,2024-02-24,国家药品监督管理局药品审评中心,已备案
Y国备2024000347,中文：恩替卡韦;英文/拉丁文：Entecavir,Y20190009161,中文名称：无;英文名称：SK Biotek Ireland Limited,"Watery Lane, Co. Dublin, K67 AY91, Ireland",中文名称：无;英文名称：SK Biotek Ireland Limited,"Watery Lane, Co. Dublin, K67 AY91, Ireland",中美上海施贵宝制药有限公司,上海市闵行剑川路1315号,恩替卡韦原料药的有效期从33个月延长至36个月,2024-02-24,国家药品监督管理局药品审评中心,已备案
国备2024000485,中文：吸入用伊洛前列素溶液;英文/拉丁文：Iloprost Solution for Inhalation,国药准字HJ20140941,中文名称：Bayer AG;英文名称：-,"51368 Leverkusen, Germany",中文名称：-;英文名称：BerliMed S.A.,"Francisco Alonso 7, Poligono Industrial Santa Rosa, 28806 Alcala de Henares, Madrid, Spain",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,将药品注册代理机构由拜耳医药保健有限公司变更为简柏特（佛山）信息技术服务有限公司。,2024-03-15,国家药品监督管理局药品审评中心,已备案
国备2024000484,中文：吸入用伊洛前列素溶液;英文/拉丁文：Iloprost Solution for Inhalation,国药准字HJ20140940,中文名称：Bayer AG;英文名称：-,"51368 Leverkusen, Germany",中文名称：-;英文名称：BerliMed S.A.,"Francisco Alonso 7, Poligono Industrial Santa Rosa, 28806 Alcala de Henares, Madrid, Spain",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,将药品注册代理机构由拜耳医药保健有限公司变更为简柏特（佛山）信息技术服务有限公司。,2024-03-15,国家药品监督管理局药品审评中心,已备案
Y国备2024000345,中文：恩替卡韦;英文/拉丁文：Entecavir,Y20190009160,中文名称：无;英文名称：SK Biotek Ireland Limited,"Watery Lane, Co. Dublin, K67 AY91, Ireland",中文名称：无;英文名称：SK Biotek Ireland Limited,"Watery Lane, Co. Dublin, K67 AY91, Ireland",中美上海施贵宝制药有限公司,上海市闵行剑川路1315号,恩替卡韦原料药的有效期从33个月延长至36个月,2024-02-24,国家药品监督管理局药品审评中心,已备案
国备2024000488,中文：尼莫地平注射液;英文/拉丁文：Nimodipine Injection,国药准字HJ20181107,中文名称：-;英文名称：Bayer Vital GmbH,"51368 Leverkusen, Germany",中文名称：-;英文名称：Solupharm Pharmazeutische Erzeugnisse GmbH,"Industriestraẞe 3, 34212 Melsungen, Germany",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,将药品注册代理机构由拜耳医药保健有限公司变更为简柏特（佛山）信息技术服务有限公司。,2024-03-15,国家药品监督管理局药品审评中心,已备案
国备2024000639,中文：戊酸雌二醇片;英文/拉丁文：Estradiol Valerate Tablets,H20160678,中文名称：-;英文名称：Jenapharm GmbH & Co. KG,"Otto-Schott-Strasse 15 07745 Jena, Germany",中文名称：-;英文名称：DELPHARM Lille S.A.S.,"Parc d'Activités Roubaix-Est 22 rue de Toufflers CS 50070 59452 Lys-Lez- Lannoy Cedex, France",简柏特（佛山）信息技术服务有限公司,广东省佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼6楼,将药品注册代理机构由拜耳医药保健有限公司变更为简柏特（佛山）信息技术服务有限公司。,2024-03-28,国家药品监督管理局药品审评中心,已备案
