备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
Y国备2024000206,中文：盐酸氮䓬斯汀;英文/拉丁文：Azelastine Hydrochloride,Y20200000214,中文名称：CURIA ITALY S.R.L.;英文名称：CURIA ITALY S.R.L.,"Via del Vecchio Politecnico, 9, 20121 Milano (MI) Italy",中文名称：CURIA ITALY S.R.L.;英文名称：CURIA ITALY S.R.L.,"Via Volturno, 41/43 (entrata principale) – Via Volturno, 45/48 (entrata secondaria) - 20089 ROZZANO (MI), Italy",库里亚（北京）医药信息咨询有限公司,北京市海淀区知春路51号慎昌大厦5层5071室,"变更境外生产药品的注册代理机构, 由北京爱力佳医药科技有限公司变成库里亚（北京）医药信息咨询有限公司。其他不变。",2024-01-30,国家药品监督管理局药品审评中心,已备案
国备2024000149,中文：达雷妥尤单抗注射液（皮下注射）;英文/拉丁文：Daratumumab Injection (Subcutaneous Injection),国药准字SJ20210025,中文名称：Janssen-Cilag International NV;英文名称：Janssen-Cilag International NV,"Turnhoutseweg 30,B-2340 Beerse，Belgium",中文名称：Cilag AG;英文名称：Cilag AG,"Hochstrasse 201,8200 Schaffhausen，Switzerland",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,1.新增达雷妥尤单抗注射液（皮下注射）辅料L-组氨酸供应商，辅料登记号为“F20200000384”。2.修改本品“制造及检定规程”已包含申报年报类变更事项：a. “中硼硅玻璃管制注射瓶” 生产厂名称行政信息变更：由 “SCHOTT AG”变更为“SCHOTT Pharma AG & Co. KGaA”；b. 橡胶塞供应商辅料登记号由“B20170000139”变更为“B20200000069”。,2024-01-24,国家药品监督管理局药品审评中心,已备案
国备2024000071,中文：醋酸戈舍瑞林缓释植入剂;英文/拉丁文：Goserelin Acetate Sustained-Release Depot,国药准字HJ20160245,中文名称：/;英文名称：AstraZeneca UK Limited,"1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM",中文名称：/;英文名称：AstraZeneca UK Limited,"SILK ROAD BUSINESS PARK, MACCLESFIELD,CHESHIRE, SK10 2NA, UNITED KINGDOM",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,"1.更新本品（批准文号：国药准字HJ20160245）上市许可持有人（AstraZeneca UK Limited）地址，由“600 Capability Green, Luton, LU1 3LU, U.K.”变更为“1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM”。仅上市许可持有人注册地址发生改变，实际持有人未发生变更。2.更新生产企业（AstraZeneca UK Limited）地址描述，由“SILK ROAD BUSINESS PARK, MACCLESFIELD, CHESHIRE, SK10 2NA, UK”变更为“SILK ROAD BUSINESS PARK, MACCLESFIELD, CHESHIRE, SK10 2NA, UNITED KINGDOM”。实际生产地址未发生改变。",2024-01-10,国家药品监督管理局药品审评中心,已备案
国备2024000070,中文：醋酸戈舍瑞林缓释植入剂;英文/拉丁文：Goserelin Acetate Sustained-Release Depot,国药准字HJ20160244,中文名称：/;英文名称：AstraZeneca UK Limited,"1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM",中文名称：/;英文名称：AstraZeneca UK Limited,"SILK ROAD BUSINESS PARK, MACCLESFIELD,CHESHIRE, SK10 2NA, UNITED KINGDOM",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,"1.更新本品（批准文号：国药准字HJ20160244）上市许可持有人（AstraZeneca UK Limited）地址，由“600 Capability Green, Luton, LU1 3LU, U.K.”变更为“1 FRANCIS CRICK AVENUE, CAMBRIDGE, CB2 0AA, UNITED KINGDOM”。仅上市许可持有人注册地址发生改变，实际持有人未发生变更。同时更新说明书和标签相应内容。2.更新生产企业（AstraZeneca UK Limited）地址描述，由“SILK ROAD BUSINESS PARK, MACCLESFIELD, CHESHIRE, SK10 2NA, UK”变更为“SILK ROAD BUSINESS PARK, MACCLESFIELD, CHESHIRE, SK10 2NA, UNITED KINGDOM”。实际生产地址未发生改变。同时更新说明书和标签相应内容。3.根据《化学药品及生物制品说明书通用格式和撰写指南》和《化学药品说明书及标签药学相关信息撰写指导原则》要求，对10.8mg说明书中【成份】、【性状】、【临床药理】、【临床试验】、【贮藏】、【批准文号】、【上市许可持有人】和【境内联系人】等格式进行规范修改，同时更新标签相应内容。其中1）将“请仔细阅读说明书并在医师指导下使用”更新为“请仔细阅读说明书并在医师或药师指导下使用”；2）规范【成份】项下格式描述，将辅料信息规范为“辅料：丙交酯乙交酯共聚物”；3）将【性状】项内容与药品注册标准“性状”项描述进行统一；4）将原“药代动力学”项下所有内容移到【临床药理】项下；5）【贮藏】项下增加“请将本品放在儿童不能接触的地方”的表述；6）将【进口药品注册证号】更新为【批准文号】，批准文号信息未发生变更；7）将【药品上市许可持有人】更新为【上市许可持有人】；8）规范【境内联系人】项下格式描述，将【境内联系机构】更新为【境内联系人】，境内联系人注册地址由“江苏省无锡市新区黄山路2号”更新为“无锡市新区黄山路2号”，其他信息未发生变更。4.删除本品纸盒上中文说明性信息的英文翻译。",2024-01-10,国家药品监督管理局药品审评中心,已备案
国备2024000106,中文：吉非替尼片;英文/拉丁文：Gefitinib Tablets,国药准字HJ20230142,中文名称：Natco Pharma Limited;英文名称：Natco Pharma Limited,"Pharma Division Kothur(CT)(V), Kothur(M) , Rangareddy (Dist.) Pin code 509228,Telangana, India",中文名称：Natco Pharma Limited;英文名称：Natco Pharma Limited,"Pharma Division Kothur(CT)(V), Kothur(M) , Rangareddy (Dist.) Pin code 509228,Telangana, India",重庆嘉士腾医药有限公司,重庆市两江新区泰山大道西段8号15楼2号,1.说明书、包装标签使用“通过一致性评价”标识；2、对说明书中【境内联系人】的注册地址进行了变更。,2024-01-16,国家药品监督管理局药品审评中心,已备案
Y国备2024000005,中文：盐酸表柔比星;英文/拉丁文：Epirubicin Hydrochloride,Y20190009315,中文名称：无;英文名称：SICOR Società Italiana Corticosteroidi S.r.l.,"Piazzale Luigi Cadorna, 420123 Milano (MI)",中文名称：无;英文名称：SICOR Società Italiana Corticosteroidi S.r.l.,"Tenuta S. Alessandro, 13048 Santhià (VC)",梯瓦医药信息咨询（上海）有限公司,上海市静安区南京西路1717号57层03单元,根据现行的注册批件中的备注：请参考杂质研究技术指导原则的技术要求，对效期内产品中超过鉴定限度的未知杂质进行定性、定量研究。根据研究结果完善对已知杂质或特定杂质的控制，并收紧未知单一杂质的控制限度。我司在2016年已经生效了未知单一杂质的限度为0.10%的质量标准，并在当时的发补回复中提交了该标准，但由于未单独提交该变更，故所或批件未及时变更注册标准。现提交此收紧注册标准的申请，以便再注册时能获批收紧未知单一杂质限度的注册标准。,2024-01-03,国家药品监督管理局药品审评中心,已备案
国备2024000108,中文：糠酸莫米松鼻喷雾剂;英文/拉丁文：Mometasone Furoate Aqueous Nasal Spray,国药准字HJ20140100,中文名称：不适用;英文名称：Organon Belgium,"Rue du Commerce 31, B-1000 Brussels , Belgium",中文名称：不适用;英文名称：Organon Heist bv,"Industriepark 30, 2220 Heist-op-den-Berg,Belgium",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,Aptar喷雾泵增加新的垫圈（阀杆和浮动垫圈）型号（405）与现在使用的垫圈型号（404E）基础弹性体相同，只是抗氧化剂种类不同，同时修订了新垫圈的可提取物质量标准。,2024-01-17,国家药品监督管理局药品审评中心,已备案
Y国备2024000006,中文：盐酸表柔比星;英文/拉丁文：Epirubicin Hydrochloride,Y20190009314,中文名称：无;英文名称：SICOR Società Italiana Corticosteroidi S.r.l.,"Piazzale Luigi Cadorna, 420123 Milano (MI)",中文名称：无;英文名称：SICOR Società Italiana Corticosteroidi S.r.l.,"Tenuta S. Alessandro, 13048 Santhià (VC)",梯瓦医药信息咨询（上海）有限公司,上海市静安区南京西路1717号57层03单元,根据现行的注册批件中的备注：请参考杂质研究技术指导原则的技术要求，对效期内产品中超过鉴定限度的未知杂质进行定性、定量研究。根据研究结果完善对已知杂质或特定杂质的控制，并收紧未知单一杂质的控制限度。请注意，我司在2016年已经生效了未知单一杂质的限度为0.10%的质量标准，并在当时的发补回复中提交了该标准，但由于未单独提交该变更，故所或批件未及时变更注册标准。现提交此收紧注册标准的申请，以便再注册时能获批收紧未知单一杂质限度的注册标准。,2024-01-03,国家药品监督管理局药品审评中心,已备案
国备2024000425,中文：注射用美罗培南;英文/拉丁文：Meropenem for Injection,国药准字J20140169,"中文名称：无;英文名称：Sumitomo Pharma Co., Ltd.","6-8, Doshomachi 2-chome, Chuo-ku, Osaka, Osaka 541-0045, Japan","中文名称：无;英文名称：Sumitomo Pharma Co., Ltd. Oita Plant","2200 Oaza Tsurusaki, Oita, Oita 870-0106, Japan",住友制药（苏州）有限公司,中国（江苏）自由贸易试验区苏州片区苏州工业园区青丘街115号,1、境外生产药品注射用美罗培南0.5g（中文商品名：美平，英文商品名：Mepem）的再注册申请已得到批准（批准文号：国药准字HJ20140702、国药准字HJ20140703），申请在中国境内由住友制药（苏州）有限公司进行分包装，分包装地址为：中国（江苏）自由贸易试验区苏州片区苏州工业园区青丘街115号，分包装规格为1瓶/盒和10瓶/盒，分包装工艺为灯检、贴签、装说明书、装盒、赋码、装箱、入库。原分包装批准文号为国药准字J20140169，原进口药品注册证号为H20140702，H20140703。2、申请根据药品再注册批准通知书（通知书编号：2023S05515、2023S05516）的批准内容修订分包装药品说明书和标签。,2024-03-07,国家药品监督管理局药品审评中心,已备案
国备2024000010,中文：骨化三醇胶丸;英文/拉丁文：Calcitriol Soft Capsules,H20140598,中文名称：Atnahs Pharma UK Limited;英文名称：Atnahs Pharma UK Limited,"Sovereign House, Miles Gray Road, Basildon, Essex, SS14 3FR, United Kingdom",中文名称：Catalent Germany Eberbach GmbH;英文名称：Catalent Germany Eberbach GmbH,"Gammelsbacher Straβe 2, 69412 Eberbach, Germany",精鼎医药研究开发（上海）有限公司,中国（上海）自由贸易试验区商城路506号12层,"1. 变更放行标准中“骨化三醇和骨化三醇前体含量测定”的色谱参数，并相应地修改注册标准中的分析方法。
2. 根据既往批准文件，修订注册标准中生产企业的名称描述（由R.P.Scherer GmbH＆Co.KG变更为Catalent Germany Eberbach GmbH），该修订不涉及实际产地的变化。
3. 根据既往提交的药品年度报告，将注册标准中的通则所引用的中国药典的版本修订为2020年版。",2024-01-05,国家药品监督管理局药品审评中心,已备案
Y国备2024000124,中文：醋酸卡泊芬净;英文/拉丁文：Caspofungin Acetate,Y20180000224,中文名称：Teva API India Private Limited;英文名称：Teva API India Private Limited,"A-2, A-2/1, A-2/2, UPSIDC Industrial Area, Bijnor Road, Gajraula-244 235. Distt. Amroha (U.P.).India",中文名称：Teva API India Private Limited ;英文名称：Teva API India Private Limited,"A-2, A-2/1, A-2/2, UPSIDC Industrial Area, Bijnor Road, Gajraula-244 235. Distt. Amroha (U.P.).India",梯瓦医药信息咨询（上海）有限公司,上海市静安区南京西路1717号57层03单元,根据积累的稳定性数据，效期由24个月延长为48个月。,2024-01-20,国家药品监督管理局药品审评中心,已备案
