备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
Y国备2025001182,中文：盐酸羟甲唑啉;英文/拉丁文：Oxymetazoline Hydrochloride,Y20170002216,中文名称：无;英文名称：CTX Life Sciences Pvt. Ltd.,"Block No. 251/P, 252/P, 253 to 255, 256/P, 258/P, 276/P, 277, 278/P, 279 To 282, 283/P, 284/P, GIDC, City: SACHIN, Dist. SURAT GUJARAT STATE, INDIA",中文名称：无;英文名称：CTX Life Sciences Pvt. Ltd.,"Block No. 251/P, 252/P, 253 to 255, 256/P, 258/P, 276/P, 277, 278/P, 279 To 282, 283/P, 284/P, GIDC, City: SACHIN, Dist. SURAT GUJARAT STATE, INDIA",山东国茂企业管理有限公司,山东省青岛市市北区南京路377号,"1.变更生产设备，原料药杂质谱和关键理化性质不变
2.变更起始物料质量标准和分析方法，起始物料的质量控制水平不降低
3.新增额外的成品放行分析方法，与批准的方法等效，原批准的注册标准不变",2025-05-24,国家药品监督管理局药品审评中心,已备案
国备2025001294,中文：苯甲酸阿格列汀片;英文/拉丁文：Alogliptin Benzoate Tablets,国药准字HJ20130549,中文名称：/;英文名称：Takeda Pharmaceutical Company Limited,"1-1, Doshomachi 4-chome, Chuo-ku, Osaka 540-8645, Japan",中文名称：/;英文名称：Takeda Ireland Limited,"Bray Business Park, Kilruddery, Co.Wicklow, Ireland",杭州中美华东制药有限公司,杭州市莫干山路866号祥符桥,苯甲酸阿格列汀片（规格：按 C18H21N5O2计，12.5mg）药品注册代理机构变更为杭州中美华东制药有限公司（社会信用代码：91330100609120774J）。,2025-06-05,国家药品监督管理局药品审评中心,已备案
国备2025000301,中文：地西泮鼻喷雾剂;英文/拉丁文：Diazepam Nasal Spray,国药准字HJ20230067,"中文名称：/;英文名称：Neurelis, Inc.","3430 Carmel Mountain Rd, Suite 300, San Diego, CA 92121 United States of America","中文名称：/;英文名称：Renaissance Lakewood, LLC","1200 Paco Way, Lakewood, NJ 08701 United States of America",深圳市康哲药业有限公司,深圳市南山区南头街道大新路198号马家龙创新大厦B座6-8楼,（1）在本品原装进口与分包装说明书中【境内联系人】项下增加：质量投诉与咨询电话号码：0755-82416868。（2）变更本品说明书中分包装企业的电话号码与传真号码。,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025000300,中文：地西泮鼻喷雾剂;英文/拉丁文：Diazepam Nasal Spray,国药准字HJ20230065,"中文名称：/;英文名称：Neurelis, Inc.","3430 Carmel Mountain Rd, Suite 300, San Diego, CA 92121 United States of America","中文名称：/;英文名称：Renaissance Lakewood, LLC","1200 Paco Way, Lakewood, NJ 08701 United States of America",深圳市康哲药业有限公司,深圳市南山区南头街道大新路198号马家龙创新大厦B座6-8楼,（1）在本品原装进口与分包装说明书中【境内联系人】项下增加：质量投诉与咨询电话号码：0755-82416868。（2）变更本品说明书中分包装企业的电话号码与传真号码。,2025-02-28,国家药品监督管理局药品审评中心,已备案
国备2025001134,中文：塞普替尼胶囊;英文/拉丁文：Selpercatinib Capsules,国药准字HJ20220078,中文名称：——;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, the Netherlands","中文名称：——;英文名称：Lilly del Caribe, Inc.","12.6 KM 65th Infantry Road(PR01), Carolina, Puerto Rico (PR) 00985, USA",礼来苏州制药有限公司,苏州工业园区方中街109号,申请将本品有效期从24个月延长到36个月，并同步将本品的“药品说明书”及“药品注册标准（标准号：JX20220104）”中的【有效期】更新为36个月。,2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025001133,中文：塞普替尼胶囊;英文/拉丁文：Selpercatinib Capsules,国药准字HJ20220077,中文名称：——;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, the Netherlands","中文名称：——;英文名称：Lilly del Caribe, Inc.","12.6 KM 65th Infantry Road(PR01), Carolina, Puerto Rico (PR) 00985, USA",礼来苏州制药有限公司,苏州工业园区方中街109号,申请将本品有效期从24个月延长到36个月，并同步将本品的“药品说明书”及“药品注册标准（标准号：JX20220104）”中的【有效期】更新为36个月。,2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025000369,中文：香松通络油;英文/拉丁文：无,ZC20100013,中文名称：岭南药厂（香港）有限公司;英文名称：LING NAM MEDICINE FACTORY (H.K) LIMITED,新界屯门新安街18号怡华工业大厦13楼B座，19楼B座，20楼B座,中文名称：岭南药厂（香港）有限公司;英文名称：LING NAM MEDICINE FACTORY (H.K) LIMITED,新界屯门新安街18号怡华工业大厦13楼B座，19楼B座，20楼B座,广东富晖药业有限公司,广州市天河区黄埔大道西76号1902房、1903房,1、根据国家药监局关于发布《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告信息申请修订香松通络油10ml说明书：增加境内责任人信息。2、根据《国家药监局关于药品信息化追溯体系建设的指导意见》国药监药管〔2018〕35号和关于发布《药品信息化追溯体系建设导则》《药品追溯码编码要求》两项信息化标准的公告（2019年第32号）申请对香松通络油10ml的最小包装盒、中盒、外箱增加药品追溯码。,2025-03-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第437号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000035,中文：10%脂肪乳（OO）/5.5%氨基酸（15）/葡萄糖（20%）注射液;英文/拉丁文：10% Fat Emulsion(OO)/5.5% Amino Acids(15)/Glucose(20%) Injection,国药准字HJ20180019,中文名称：-;英文名称：BAXTER S.A.,"Bd. René Branquart 80, 7860 Lessines Belgium",中文名称：-;英文名称：BAXTER S.A.,"Bd. René Branquart 80, 7860 Lessines Belgium",百特医疗仪器设备（上海）有限公司,中国（上海）自由贸易试验区英伦路38号六层619室,变更境外生产药品的注册代理机构，由目前的广州百特侨光医疗用品有限公司变更为百特医疗仪器设备（上海）有限公司。,2025-01-11,国家药品监督管理局药品审评中心,已备案
国备2025000431,中文：羧基麦芽糖铁注射液;英文/拉丁文：Ferric Carboxymaltose Injection,国药准字HJ20220091,中文名称：/;英文名称：Vifor (International) Inc.,"Rechenstrasse 37, 9014 St. Gallen, Switzerland",中文名称：/;英文名称：IDT Biologika GmbH,"Am Pharmapark, 06861 Dessau-Rosslau, Germany",北京费森尤斯卡比医药有限公司,北京市大兴区中关村科技园区大兴生物医药产业基地华佗路57号,增加羧基麦芽糖铁注射液（规格：按Fe计 10mL:500mg）放行质量标准参数：粒径分布、游离（碳水化合物）配体、铁与结合配体的比值。,2025-03-12,国家药品监督管理局药品审评中心,已备案
国备2025000430,中文：羧基麦芽糖铁注射液;英文/拉丁文：Ferric Carboxymaltose Injection,国药准字HJ20220090,中文名称：/;英文名称：Vifor (International) Inc.,"Rechenstrasse 37, 9014 St. Gallen, Switzerland",中文名称：/;英文名称：IDT Biologika GmbH,"Am Pharmapark, 06861 Dessau-Rosslau, Germany",北京费森尤斯卡比医药有限公司,北京市大兴区中关村科技园区大兴生物医药产业基地华佗路57号,增加羧基麦芽糖铁注射液（规格：按Fe计 2mL:100mg）放行质量标准参数：粒径分布、游离（碳水化合物）配体、铁与结合配体的比值,2025-03-12,国家药品监督管理局药品审评中心,已备案
Y国备2025000033,中文：右佐匹克隆;英文/拉丁文：Eszopiclone,Y20170000418,中文名称：/;英文名称：Centaur Pharmaceuticals Private Limited,"Centaur Pharmaceuticals Private Limited Centaur House, Shanti Nagar, Near Grand Hyatt, Vakola, Santacruz(East), India-400 055, Mumbai, Maharashtra",中文名称：/;英文名称：Centaur Pharmaceuticals Private Limited,"Plot No. 75,76,76/1 & 74, Chikhloli MIDC, Ambernath (West), Thane 421501 Maharashtra State, India",上海佰利源医药科技有限公司,上海市闵行区颛兴东路1277弄54号402室,"将生产地址由“Plot No. 75,76&76/1 Chikhloli MIDC, Ambernath(West), Thane 421501, Maharashtra State, India”变更为“Plot No. 75,76,76/1 & 74, Chikhloli MIDC, Ambernath (West), Thane 421501 Maharashtra State, India”。",2025-01-11,国家药品监督管理局药品审评中心,已备案
国备2025000373,中文：莫格利珠单抗注射液;英文/拉丁文：Mogamulizumab Injection,国药准字SJ20220018,"中文名称：无;英文名称：Kyowa Kirin Co., Ltd.","1-9-2 Otemachi, Chiyoda-ku, Tokyo, Japan ","中文名称：无;英文名称：Otsu Pharmaceuticals Plant, TOYOBO CO., LTD.","2-1-1, Katata, Otsu, Shiga 520-0292 Japan",协和麒麟（中国）制药有限公司,中国（上海）自由贸易试验区龙东大道970号,"1）根据境外证明文件，规范制剂生产企业名称及地址，生产企业名称从Toyobo Company Limited, Otsu Pharmaceutical Plant修正为Otsu Pharmaceuticals Plant, TOYOBO CO., LTD.，生产企业地址从1-1 Katata-2-Chome, Otsu-Shi, Shiga, 520-0292, Japan修正为2-1-1, Katata, Otsu, Shiga 520-0292 Japan，不涉及实际主体及地址变更。同时更新本品说明书、标签、药品注册标准、制造及检定规程上的相应内容。
2）制剂生产中同等设备的替换，同时更新“制造及检定规程”的相应内容。",2025-03-06,国家药品监督管理局药品审评中心,已备案
Y国备2025001330,中文：愈创甘油醚;英文/拉丁文：Guaifenesin,Y20200001231,中文名称：/;英文名称：Synthokem Labs Private Limited,"Unit-II, Plot No: 222 to 224 & 235 to 237, Phase-II, IDA, Pashamylaram,Patancheru Mandal, Sangareddy District-502319, Telangana State, India.",中文名称：/;英文名称：Synthokem Labs Private Limited,"Unit-II, Plot No: 222 to 224 & 235 to 237, Phase-II, IDA, Pashamylaram,Patancheru Mandal, Sangareddy District-502319, Telangana State, India.",上海佰利源医药科技有限公司,上海市闵行区颛兴东路1277弄54号402室,1. 包装规格由“1kg/桶。5kg/桶。25kg/桶”变更为“1kg/桶。5kg/桶。25kg/桶。50kg/桶”。2. 延长效期至60月,2025-06-07,国家药品监督管理局药品审评中心,已备案
