备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
蒙备2024023340,肉蔻五味丸,国药准字Z15020402,内蒙古蒙药股份有限公司,通辽经济技术开发区辽河大街西段,内蒙古蒙药股份有限公司,通辽经济技术开发区辽河大街西段,依据国家药品标准补充颁布件（批件号：2023B016）肉蔻五味丸口服固体药用高密度聚乙烯瓶75粒/瓶×1瓶/盒的说明书标签及包装标签。具体变更如下:说明书（1）增加【执行标准】。瓶签：（1）增加警示用语，删除“请按药品说明书服用”。（2）删除“功能精炼”，增加汉语拼音。盒：（1）删除“功能精炼”，增加汉语拼音。详见说明书标签说明及包装标签说明。申请人对申报资料的真实性、准确性、完整性、规范性负责。,内蒙古自治区药品监督管理局,2024-06-20,已备案,详情
桂备2024023455,复方板蓝根颗粒,国药准字Z45020106,广西药用植物园制药厂,广西南宁市宝塔医药产业园工业大道8号,广西药用植物园制药厂,广西南宁市宝塔医药产业园工业大道8号,"一、包装规格：15克/袋×21袋/包
1.说明书：
1.1重新设计版面。
1.2【包装】项由“双向拉伸聚丙烯/低密度聚乙烯药用复合膜、袋；15克/袋×20袋/包。”变更为“双向拉伸聚丙烯/低密度聚乙烯药用复合膜、袋；15克/袋×21袋/包。”，其他文字内容不改变。
2.内标签（内包装袋）：
2.1重新设计版面，文字内容不改变。
3.外标签（中包装袋）：
3.1重新设计版面。
3.2【包装】项由“双向拉伸聚丙烯/低密度聚乙烯药用复合膜、袋；15克/袋×20袋/包。”变更为“双向拉伸聚丙烯/低密度聚乙烯药用复合膜、袋；15克/袋×21袋/包。”，其他文字内容不改变。",广西壮族自治区药品监督管理局,2024-06-20,已备案,详情
甘备2024022198,黄疸茵陈颗粒,国药准字Z62021262,甘肃新岷海制药有限公司,甘肃省定西市岷县当归大道816号,甘肃岷海制药有限责任公司,甘肃岷县工业园区,1.申请新增“药用复合膜袋包装，10g×8袋/盒”包装规格；2.按照原国家食品药品监督管理局24号令有关规定，对包装规格为“每1g相当于饮片0.56g：药用复合膜包装，20g×6袋/盒”的黄疸茵陈颗粒药品说明书和包装标签原【规格】项由“每袋装20g”变更为“每1g相当于饮片0.56g”，“每袋装20g”和“每袋装10g”列入说明书【包装】项下。,甘肃省药品监督管理局,2024-06-20,已备案,详情
甘备2024022226,联苯双酯胶囊,国药准字H62021078,甘肃成纪生物药业有限公司,甘肃省天水市麦积区廿铺工业示范区,甘肃成纪生物药业有限公司,甘肃省天水市麦积区廿铺工业示范区,企业计划对长期未生产品种联苯双酯胶囊恢复上市生产，按照原国家食品药品监督管理局24号令有关规定，现申请以下备案：1、对该品种两种包装规格“药用塑料瓶装，30粒/瓶”和“铝塑板装，9粒/板*2板/盒”的说明书申请备案，说明书增加药品上市许可持有人；2、对“铝塑板装，9粒/板*2板/盒”的纸盒、药用铝箔、标签包装材料申请备案，并增加药品上市许可持有人。,甘肃省药品监督管理局,2024-06-20,已备案,详情
湘备2024023283,左乙拉西坦片,国药准字H20223929,湖南嘉恒制药有限公司,浏阳经济技术开发区康万路910号,湖南嘉恒制药有限公司,浏阳经济技术开发区康万路910号,增加左乙拉西坦片药品原料药（原料药名称：左乙拉西坦）的供应商（浙江华海药业股份有限公司）。,湖南省药品监督管理局,2024-06-20,已备案,详情
渝备2024022460,氯化钠注射液,国药准字H50021387,天圣制药集团股份有限公司,重庆市朝阳工业园区（垫江桂溪）,天圣制药集团股份有限公司,重庆市朝阳工业园区（垫江桂溪）,增加海安县健民橡塑有限公司为氯化钠注射液（500ml：4.5g）多层共挤输液袋用聚丙烯双口管接口和塑料输液容器用聚丙烯易折式组合盖的包材供应商。,重庆市药品监督管理局,2024-06-20,已备案,详情
粤备2024022558,驱风油,国药准字Z44023479,广东恒健制药有限公司,广东省江门市龙溪路117号,广东恒健制药有限公司,广东省江门市龙溪路117号,修订说明书及包装标签中的【成份】【性状】【贮藏】项。,广东省药品监督管理局,2024-06-20,已备案,详情
粤备2024022816,盐酸依匹斯汀片,国药准字H20223744,广州市联瑞制药有限公司,广州市南沙区万顷沙镇同发路2号自编101栋5层,"广州一品红制药有限公司,广州市联瑞制药有限公司","广州市经济技术开发区东区东博路6号,广州市南沙区万顷沙镇同发路2号",本品增加自行生产场地：广州市联瑞制药有限公司，生产地址：广州市南沙区万顷沙镇同发路2号。,广东省药品监督管理局,2024-06-20,已备案,详情
晋备2024021542,羚翘解毒丸,国药准字Z14020283,广盛原中医药有限公司,大同开发区第一医药工业园区,广盛原中医药有限公司,山西省大同市经济技术开发区第一医药园区,在羚翘解毒丸标签上增加中“中华老字号”标识。此外不涉及其他微小、中等、重大变更。,山西省药品监督管理局,2024-06-20,已备案,详情
晋备2024023501,胞磷胆碱钠注射液,国药准字H20243545,山西德元堂药业有限公司,山西省晋中市山西示范区晋中开发区汇通产业园区开发区机械园,山西德元堂药业有限公司,山西省晋中市山西示范区晋中开发区汇通产业园区开发区机械园,变更药品有效期：胞磷胆碱钠注射液（2ml:0.25g（按C14H26N4O11P2计））有效期由12个月变更为18个月。,山西省药品监督管理局,2024-06-20,已备案,详情
