备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
琼备2024019878,注射用转化糖,国药准字H20080043,海南皇隆制药股份有限公司,海南省海口国家高新技术产业开发区药谷三横路8号,海南皇隆制药股份有限公司,海南省海口国家高新技术产业开发区药谷三横路8号,注射用转化糖（规格：12.5g[果糖（C₆H₁₂O₆）6.25g与无水葡萄糖（C₆H₁₂O₆）6.25g]）变更制剂生产工艺：1、变更钠钙玻璃输液瓶灭菌工艺参数；2、设备零部件、工器具保留原湿热灭菌方式，删除干热灭菌方式，同时将干热灭菌设备拆除。,海南省药品监督管理局,2024-05-28,已备案,详情
粤备2024019189,曲咪新乳膏,国药准字H44024450,广东华润顺峰药业有限公司,佛山市顺德区大良街道金桔嘴,广东华润顺峰药业有限公司,顺德区大良街道金桔嘴,变更本品处方中的辅料，增加“单双硬脂酸甘油酯”的供应商“江西益普生药业有限公司”。,广东省药品监督管理局,2024-05-28,已备案,详情
晋备2024019282,西咪替丁片,国药准字H14022108,山西太原药业有限公司,山西省太原市晋源区化工路22号,山西太原药业有限公司,山西省太原市晋源区化工路22号,变更制剂所用原料药的供应商: 该制剂品种中西咪替丁的原料药供应商为石家庄市普力制药有限公司、万邦德制药集团有限公司，现申请增加西咪替丁原料药供应商盐城凯利药业有限公司（登记号Y20190003735，登记状态为“A”）。,山西省药品监督管理局,2024-05-28,已备案,详情
豫备2024020062,氨茶碱片,国药准字H41022749,河南生命鸟药业有限公司,太康县建设路南段,河南生命鸟药业有限公司,太康县建设路南段,申请将本品种的药品上市许可持有人/生产企业企业名称由“河南雪樱花制药有限公司”变更为“河南生命鸟药业有限公司”。,河南省药品监督管理局,2024-05-28,已备案,详情
鄂备2024019473,安宫牛黄丸,国药准字Z20063878,武汉健民大鹏药业有限公司,湖北省武汉市东西湖区吴南路15号,武汉健民大鹏药业有限公司,湖北省武汉市吴家山台商投资区特一号,将安宫牛黄丸有效期从24个月变更为36个月，同时对说明书相应内容进行修订。,湖北省药品监督管理局,2024-05-28,已备案,详情
皖备2024019411,元胡止痛片,国药准字Z34021010,天长亿帆制药有限公司,安徽省天长市铜城镇安乐工业园区,天长亿帆制药有限公司,安徽省天长市铜城镇安乐工业园区,"20、一、【不良反应】由“尚不明确”，变更为：监测数据显示，本品可见以下不良反应报告：恶心、呕吐、口干、腹痛、腹泻、腹胀、腹部不适、嗳气、皮疹、瘙痒、潮红、红斑、荨麻疹、多汗、头晕、头痛、嗜睡、失眠、胸部不适、乏力、发热、心悸、呼吸困难、过敏反应等，有肝功能异常、过敏性休克个例报告。
二、【禁 忌】由“尚不明确”，变更为：
1.孕妇忌服。
2.严重肝肾功能不全者禁用。
3.对本品及所含成份过敏者禁用。
三、【注意事项】
1．饮食宜清淡，忌酒及辛辣、生冷、油腻食物。
2．忌愤怒、忧郁，保持心情舒畅。
3．有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。
4．儿童、孕妇、哺乳期妇女、年老体弱者应在医师指导下服用。
5．疼痛严重者应及时去医院就诊。
6．服药3天症状无缓解，应去医院就诊。
7．对本品过敏者禁用，过敏体质者慎用。
8．本品性状发生改变时禁止使用。
9．儿童必须在成人监护下使用。
10．请将本品放在儿童不能接触的地方。
11．如正在使用其他药品，使用本品前请咨询医师或药师。
变更为：
1.饮食宜清淡，忌酒及辛辣、生冷、油腻食物。
2.忌愤怒、忧郁，保持心情舒畅。
3.本品不宜用于虚证痛经，其表现为经期或经后小腹隐痛喜按，月经质稀或色淡，伴有头晕目花，心悸气短等症者。
4.按照用法用量服用，不建议长期服用。服药中如出现皮疹，胸闷，憋气等过敏症状，或者其他严重不良反应，应当立即停药并就医。
5.重度痛经者或服药后痛经不减轻，应当去医院就诊。
6.痛经并伴有其他妇科疾病者，应当去医院就诊。
7.高血压、心脏病、肝病、糖尿病、肾病等患者应当在医师指导下服用。
8.哺乳期妇女、年老体弱者应当在医师指导下服用。
9.肝、肾功能不全者慎用；确需使用，应当在医生指导下使用并定期进行肝肾功能监测。
10.使用本品时不宜再合并用其他非甾体类镇痛药，如确需使用，应当加强监测。
11.对于有出血倾向或使用抗凝、抗血小板治疗的患者，在医生指导下使用，并注意监测。
12.服药3天症状无缓解，应当去医院就诊。
13.目前尚无儿童用药的临床证据。
14.过敏体质者慎用。
15.本品性状发生改变时禁止使用。
16.请将本品放在儿童不能接触的地方。
17.如正在使用其他药品，使用本品前请咨询医师或药师。
四、说明书修订日期：按备案许可日期。
五、说明书其他内容不变。
六、包装材质不变。",安徽省药品监督管理局,2024-05-28,已备案,详情
豫备2024020072,维生素B6片,国药准字H41022942,河南生命鸟药业有限公司,太康县建设路南段,河南生命鸟药业有限公司,太康县建设路南段,申请将本品种的药品上市许可持有人/生产企业企业名称由“河南雪樱花制药有限公司”变更为“河南生命鸟药业有限公司”。,河南省药品监督管理局,2024-05-28,已备案,详情
鄂备2024007917,注射用奥美拉唑钠,国药准字H20058464,武汉天安医药科技有限公司,武汉市东湖新技术开发区武大园路5-2号国家地球空间信息产业基地北主楼1单元6层01号,福安药业集团湖北人民制药有限公司,湖北省武汉市东西湖区柏泉祁家山特1号,1、注射用奥美拉唑钠需在60000瓶、147000瓶生产批量基础上，新增生产批量78000瓶， 2、注射用奥美拉唑钠新增生产场地：注射剂2车间冻干粉针剂生产线，生产场地变更相关生产设备同步变更，属于相同设计和原理的设备替代另一设备且无工艺参数变更的微小变更如下：（1）配液系统由南京金日轻工科技发展有限公司的600L配料罐、300L中间储罐、30L无菌储罐变更为楚天科技股份有限公司的800L配料罐、600L中间储罐和5L无菌储罐（2）冻干机由山东新华医疗器械股份有限公司LYOLINER-40冻干机和LMB-FX-30HLT冻干机 ，上海舒博拉尼制药设备有限公司LYO-Basic30冻干机变更为东富龙科技集团股份有限公司LYO-35型真空冷冻干燥机。（3）器具清洗相关设备由山东新华医疗器械股份有限公司的PQXCH-109598器具清洗机、GDC-1.2B干热灭菌柜、XG1.GMA-1.0脉动真空灭菌器变更为山东新华医疗器械股份有限公司的YQG-S-V-0.9-H制药用器具清洗干燥机、SGLS-A-990D蒸汽灭菌器。 3、注射用奥美拉唑钠：注射剂2车间冻干粉针剂生产线，生产场地变更相关生产设备同步变更，属于相同设计和原理的设备替代另一设备但仅涉及设备设置参数不影响制剂关键质量属性的中等变更如下：（1）洗瓶机、隧道烘箱由楚天科技股份有限公司的KQCL140立式超声波洗瓶机变更为KQCLS20/6型立式超声波清洗机，隧道烘箱网带速度由“130~280mm/min”变更为“130-320mm/min”（2）胶塞清洗机由温州亚光机械制造有限公司的KJCS-26ES胶塞清洗机变更为浙江亚光科技股份有限公司KJQS-24E全自动湿法气冲式胶塞清洗机，清洗能力由“18万只/批(20- D3)”变更为“24万只/批(20- D3)”，（3）铝盖清洗机由温州亚光机械制造有限公司的KJSZ-18ES铝盖清洗机变更为浙江亚光科技股份有限公司KJSL-24E全自动湿法气冲式铝盖清洗机，清洗能力由“10万只/批”变更为“24万只/批”（4）灌装加塞机由楚天科技股份有限公司的KGS16/20-X11抗生素瓶灌装加塞机变更为楚天科技股份有限公司的KGSA12/16灌装加塞机，生产能力由“500/min”变更为“450/min”，配置由“20灌装头，灌装精度±3%”变更为“16灌装头，灌装精度±2%”（5） 轧盖机由楚天科技股份有限公司的ZG400E(A)型抗生素瓶轧盖机变更为ZG16型轧盖机，轧盖能力由“400瓶/min”变更为“450瓶/min”。(6)在人工灯检的基础上增加自动灯检。,湖北省药品监督管理局,2024-05-28,已备案,详情
鲁备2024019046,甲钴胺片,国药准字H20051425,辰欣药业股份有限公司,济宁高新区同济科技工业园,辰欣药业股份有限公司,济宁高新区海川路,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号）和《药品说明书适老化及无障碍改革试点名单（第一批）》，对本品药品说明书（简化版）进行备案，同时提供电子药品说明书（完整版）。包装标签进行相应修订。,山东省药品监督管理局,2024-05-28,已备案,详情
冀备2024020104,注射用青霉素钠,国药准字H13020657,华北制药股份有限公司,石家庄市和平东路388号,华北制药股份有限公司,石家庄市和平东路388号,"申请备案本品原料药供应商增加石药集团中诺药业(石家庄)有限公司,生产场地增加粉针一车间8楼8-1线,同时增加制剂生产批量。我公司对申报资料的真实性、准确性、完整性负责,并将持续关注变更后产品安全性、有效性和质量可控性,必要时提出补充申请。",河北省药品监督管理局,2024-05-28,已备案,详情
